ID,Article,Category,Price,OptPrice,SOptPrice,Quantity,QuantityLED,QuantityVVO,QuantityMOX,QuantityMRT,Type,SubType,Manufacturer,Guid,Components,Title,Text,Vis,T_width,T_height,T_diameter,C_type,C_step,C_num,Sales,Owner,Image,Supplier,PriceSUP,QuantitySUP,CodeSUP,Article_Value,Row_Number,Duplicate_Group_ID
302,302,,37490,0,0,0,0,0,0,0,,,Honda,e1888d62890049a884ecf81317c231fd,,Honda X8R,,,,0,0,,,,0,0,,,0,0,,,302,137,1
68077,302,,0,0,0,0,0,0,0,0,,,Honda,9f883cbe304911ed8f8d00155d018a00,,Honda 125PCX,,,,0,0,,,,0,0,,,0,0,,,302,11406,1
68078,302,,0,0,0,0,0,0,0,0,,,Honda,9f883cc1304911ed8f8d00155d018a00,,Honda SFX,,,,0,0,,,,0,0,,,0,0,,,302,11407,1
68079,302,,0,0,0,0,0,0,0,0,,,Honda,9f883cc3304911ed8f8d00155d018a00,,Honda SJ 50 Bali,,,,0,0,,,,0,0,,,0,0,,,302,11408,1
68080,302,,0,0,0,0,0,0,0,0,,,Honda,9f883cc5304911ed8f8d00155d018a00,,Honda SRX 50 Shadow,,,,0,0,,,,0,0,,,0,0,,,302,11409,1
1165,1165,,2430,1510,0,0,0,0,0,0,,,NRK,80fcdcc889c54539b34b0a85d1a0cdfd,,Стекло ветровое Kawasaki ZZR 400 1995-05. тонированное,,,,0,0,,,,0,0,,,0,0,,,1165,458,2
2221,1165,,450,292,292,0,2,0,0,2,,Стандартные,NRK,a84084b3248f45f4a16ebe0c9ddd1768,,Масляный насос 4T 152QMI. 157QMJ 125/150сс CN,,,,0,0,,,,0,2,,,0,0,,,1165,810,2
1934,1934,,80,50,40,0,2,0,0,2,,Сальники двигателя,CN Китай,fe56909d45024344bdcc0d194ba84ee5,,Сальник 33х39х4,,,,0,0,,,,0,2,,,0,0,,,1934,706,3
61973,1934,,10,5,5,0,4,0,0,4,,Стандартные,CN Китай,ef7a40a22e9f11e9b94200155d3b7601,,Клапаны (компл. 2шт) 4T 139QMB стандартные d=16/18.5  CN,,,,0,0,,,,0,2,,,0,0,,,1934,7694,3
2466,7023,,410,307,309,0,0,0,0,0,,,NGK,3b33a0116e1a4fb39b0470e404b6215e,,Свеча NGK CR6HS,,,,0,0,,,,0,0,,,0,0,,,7023,891,4
47352,7023,,2930,1595,0,0,0,0,0,0,,Защита рук и крепления,,0251ff434e1c11e08c0f001966f4ab92,,Защита рук (пара) черные. алюминиевый крепеж,,,,0,0,,,,0,0,,,0,0,,,7023,2092,4
47376,097.0033,,180,50,50,0,95,0,0,95,,Наклейки,Polini,0251ff744e1c11e08c0f001966f4ab92,,Наклейка Polini - 16x6 см,,,,0,0,,,,0,2,,,0,0,,,097.0033,2109,5
76654,097.0033,,0,0,0,0,0,0,0,0,,Наклейки,Polini,1c66a341b2e211ef8e4f00155d018a00,,Наклейка Polini,,,,,,,,,0,0,,,0,0,,,097.0033,17263,5
53039,104098,,9080,7282,7282,0,0,0,0,0,,Для двигателя и трансмиссии,Motul,568887ab1f9b11e38e8cd0278847160a,,Масло моторное MOTUL 7100 4T 10W-50 - 4л.,100% синтетическое моторное масло для 4-х тактных мотоциклов. Создано по технологии сложных эфиров (эстеров). Соответствует требованиям производителей мотоциклов: KTM и HUSQVARNA где рекомендуется использовать масло с классом вязкости 10W50. Превосходная стойкость масляной пленки обеспечивает защиту двигателя и коробки переключения передач. а также плавное переключение. Соответствует требованиям JASO MA2. что обеспечивает четкость работы сцепления в масляной ванне. Совместимо с системами нейтрализации отработавших газов. \n\nУпаковка: 4л,10W50,,0,0,,,,0,0,,,0,0,,,104098,4070,6
61013258,104098,,5800,5220,0,0,0,0,0,0,,Для двигателя и трансмиссии,Motul,06101be9388511ec8fd200155d3b7601,,Масло моторное 7100 4T 10W-40  4л.,100% синтетическое масло для 4-х тактных мотоциклов. Создано по технологии сложных эфиров (эстеров). Соответствует требованиям производителей мотоциклов. Превосходная стойкость масляной пленки обеспечивает защиту двигателя и коробки переключения передач. а также плавное переключение. Соответствует требованиям JASO MA2. что обеспечивает четкость работы сцепления в масляной ванне. Совместимо с системами нейтрализации отработавших газов.,,,0,0,,,,0,0,,,0,0,,,104098,21682,6
54276,395-115,,550,374,0,0,0,0,0,0,,,PW,a99354e6d79f11e4958c00155d3b7601,,Сетка для багажа (паук) черная,,,,0,0,,,,0,0,,,0,0,,,395-115,4462,7
60267,395-115,,780,526,0,0,0,0,0,0,,,PW,cd4d32572ded11e8a7b800155d3b7601,,Сетка багажная PW 40x40см. черная,,,,0,0,,,,0,0,,,0,0,,,395-115,7030,7
54485,Allo-125,,0,0,0,0,0,0,0,0,,,SYM,8fd48d3b26d811e5b79900155d3b7601,,SYM Allo 125 4T,,,,0,0,,,,0,0,,,0,0,,,Allo-125,4521,8
67919,Allo-125,,0,0,0,0,0,0,0,0,,,SYM,07c157901ed911ed8f8d00155d018a00,,SYM Joymax 250 (2007-2010),,,,0,0,,,,0,0,,,0,0,,,Allo-125,11285,8
67920,Allo-125,,0,0,0,0,0,0,0,0,,,SYM,07c157921ed911ed8f8d00155d018a00,,SYM Joymax Evo 300 (2010-2012),,,,0,0,,,,0,0,,,0,0,,,Allo-125,11286,8
67921,Allo-125,,0,0,0,0,0,0,0,0,,,SYM,07c157941ed911ed8f8d00155d018a00,,SYM Joymax Sport 300 (2016-2017),,,,0,0,,,,0,0,,,0,0,,,Allo-125,11287,8
67922,Allo-125,,0,0,0,0,0,0,0,0,,,SYM,07c157971ed911ed8f8d00155d018a00,,SYM GTS 300 (2011-2015),,,,0,0,,,,0,0,,,0,0,,,Allo-125,11288,8
55550,3188,,1050,892,892,0,4,0,0,4,,,NGK,53924360d7e311e68c9c00155d3b7601,,Свеча NGK JR9B,,,,0,0,,,,0,1,,,0,0,,,3188,4984,9
