ОШИБКИ ОБРАБОТКИ ФАЙЛА: C:\glavnaya\Price.xls
==================================================
Всего ошибок: 82
==================================================

1. Строка 2: Не удалось разобрать 'Типоразмер WMS'
2. Строка 3: Не удалось разобрать '2.50 R16'
3. Строка 4: Не удалось разобрать '2.75 R16'
4. Строка 5: Не удалось разобрать '3.00 R19'
5. Строка 6: Не удалось разобрать '3.25 R16'
6. Строка 7: Не удалось разобрать '3.25 R18'
7. Строка 8: Не удалось разобрать '3.25 R19'
8. Строка 9: Не удалось разобрать '3.50 R18'
9. Строка 10: Не удалось разобрать '3.50 R19'
10. Строка 11: Не удалось разобрать '4.00 R18'
11. Строка 12: Не удалось разобрать '4.00 R18'
12. Строка 47: Не удалось разобрать 'MH90 R21'
13. Строка 48: Не удалось разобрать 'MT90 R16'
14. Строка 49: Не удалось разобрать 'MT90 R16'
15. Строка 50: Не удалось разобрать 'MU85 R16'
16. Строка 51: Не удалось разобрать '3.00 R21'
17. Строка 52: Не удалось разобрать '4.00 R18'
18. Строка 59: Не удалось разобрать '4.00 R18'
19. Строка 104: Не удалось разобрать '3.25 R19'
20. Строка 105: Не удалось разобрать '3.50 R19'
21. Строка 241: Не удалось разобрать 'MH90 R21'
22. Строка 242: Не удалось разобрать 'MH90 R21'
23. Строка 243: Не удалось разобрать 'MT90 R16'
24. Строка 244: Не удалось разобрать 'MT90 R16'
25. Строка 245: Не удалось разобрать 'MT90 R16'
26. Строка 246: Не удалось разобрать 'MT90 R16'
27. Строка 247: Не удалось разобрать 'MU85 R16'
28. Строка 248: Не удалось разобрать 'MU85 R16'
29. Строка 249: Не удалось разобрать '3.00 R19'
30. Строка 250: Не удалось разобрать '3.25 R18'
31. Строка 251: Не удалось разобрать '3.25 R19'
32. Строка 252: Не удалось разобрать '2.50 R17'
33. Строка 253: Не удалось разобрать '2.75 R17'
34. Строка 254: Не удалось разобрать '2.75 R18'
35. Строка 255: Не удалось разобрать '3.00 R17'
36. Строка 256: Не удалось разобрать '3.00 R18'
37. Строка 257: Не удалось разобрать '3.25 R18'
38. Строка 258: Не удалось разобрать '3.50 R18'
39. Строка 267: Не удалось разобрать '3.00 R18'
40. Строка 268: Не удалось разобрать '3.50 R18'
41. Строка 269: Не удалось разобрать '4.00 R18'
42. Строка 352: Не удалось разобрать '3.25 R19'
43. Строка 353: Не удалось разобрать '4.00 R18'
44. Строка 417: Не удалось разобрать '3.00 R10'
45. Строка 418: Не удалось разобрать '3.50 R10'
46. Строка 548: Не удалось разобрать '2.50 R17'
47. Строка 549: Не удалось разобрать '2.75 R17'
48. Строка 643: Не удалось разобрать '3.00 R10'
49. Строка 644: Не удалось разобрать '3.50 R10'
50. Строка 659: Не удалось разобрать '2.50 R17'
51. Строка 660: Не удалось разобрать '2.75 R18'
52. Строка 661: Не удалось разобрать '3.00 R18'
53. Строка 662: Не удалось разобрать '3.00 R18'
54. Строка 663: Не удалось разобрать '3.25 R18'
55. Строка 664: Не удалось разобрать '3.50 R16'
56. Строка 665: Не удалось разобрать '3.50 R18'
57. Строка 907: Не удалось разобрать '2.75 R21'
58. Строка 908: Не удалось разобрать '4.00 R18'
59. Строка 963: Не удалось разобрать 'MU85 R16'
60. Строка 971: Не удалось разобрать '3.00 R10'
61. Строка 972: Не удалось разобрать '3.50 R10'
62. Строка 983: Не удалось разобрать '2.50 R10'
63. Строка 1014: Не удалось разобрать '2.50 R10'
64. Строка 1015: Не удалось разобрать '2.75 R10'
65. Строка 1153: Не удалось разобрать '2.75 R18'
66. Строка 1173: Не удалось разобрать 'MH90 R21'
67. Строка 1174: Не удалось разобрать 'MT90 R16'
68. Строка 1240: Не удалось разобрать '3.25 R19'
69. Строка 1241: Не удалось разобрать '4.00 R18'
70. Строка 1246: Не удалось разобрать '3.50 R10'
71. Строка 1249: Не удалось разобрать '3.50 R10'
72. Строка 1250: Не удалось разобрать '3.50 R8'
73. Строка 1262: Не удалось разобрать '2.50 R10'
74. Строка 1263: Не удалось разобрать '2.75 R10'
75. Строка 1325: Не удалось разобрать '3.50 R10'
76. Строка 1335: Не удалось разобрать '3.50 R10'
77. Строка 1446: Не удалось разобрать '3.50 R10'
78. Строка 1464: Не удалось разобрать '3.50 R19'
79. Строка 1465: Не удалось разобрать '2.50 R16'
80. Строка 1471: Не удалось разобрать '3.50 R18'
81. Строка 1534: Не удалось разобрать '3.00 R10'
82. Строка 1535: Не удалось разобрать '3.50 R10'
