Source_Row,ID,Article,Category,Price,OptPrice,SOptPrice,Quantity,QuantityLED,QuantityVVO,QuantityMOX,QuantityMRT,Type,SubType,Manufacturer,Guid,Components,Title,Text,Vis,T_width,T_height,T_diameter,C_type,C_step,C_num,Sales,Owner,Image,Supplier,PriceSUP,QuantitySUP,CodeSUP,Searched_Article
889,2465,HF112,,460,307,297,0,414,183,0,414,,Масляные,Hi-Flo,16adbd4f145b4dd994f70166282a553a,,Фильтр масляный Hi-Flo HF112,Масляные фильтры Hiflo Filtro обеспечивают отличную фильтрацию моторного масла при любых эксплуатационных нагрузках и эффективно удаляют различные загрязнения. которые образуются в двигателе в процессе его эксплуатации. Фильтры изготавливаются из самых лучших и доступных на данный момент в индустрии материалов и превосходят по характеристикам многие оригинальные OEM-фильтры. \n\nЯвляется заменой OEM: Gas Gas: MFS400122550 MFS450622565C MFS450622565CT/ Honda: 15410-KF0-010 15410-KF0-020 15410-KL3-670 15410-KYJ-901 15412-KF0-000 15412-KF0-305 15412-KF0-315/ Suzuki: K5201-01053/ Polaris: 3088036/ Kawasaki: 52010-1053  Для точного выбора смотрите применяемость фильтра в характеристиках.\n\nHiflo Filtro занимается производством фильтров с 1963 года. Опыт более четырех десятилетий непрерывных исследований. разработок и современные производственные мощности позволяют производить лучшие фильтры максимально высокого качества.\n\nПодходит для:\nHONDA AX-1 1988-1998\nHONDA CBR 250 R 2011-2013\nHONDA CBR300R 2014-2015\nHONDA CRF 250 L 2013-2014\nHONDA FMX 650 2005-2007\nHONDA FX 650 Vigor 1999-2002\nHONDA NX 650 DOMINATOR 1988-1994\nHONDA NX 650 DOMINATOR 1995-2000\nHONDA NX 650 DOMINATOR 2001-2002\nHONDA SLR 650 1997-1999\nHONDA XL 600 V TRANSALP 1987-1990\nHONDA XL 600 V TRANSALP 1995-1996\nHONDA XL 600 V TRANSALP 1997-2000\nHONDA XLR250 R / Baja 1987-2000\nHONDA XR 250 BAJA 1990-2005\nHONDA XR 250R 1990-2008\nHONDA XR 400 1995-2005\nHONDA XR 600 R 1993-1999\nHONDA XR 650 L 1993-1999\nHONDA XR 650 L 2000-2013\nHONDA XR 650 R 2000-2001\nHONDA XR 650 R 2002-2006\nKAWASAKI D-Tracker 125 2010-2011\nKAWASAKI D-Tracker 125 2012-2012\nKAWASAKI EL 125 ELIMINATOR 1998-1998\nKAWASAKI KL 250 SUPER SHERPA 1995-2008\nKAWASAKI KLX 125 2010-2011\nKAWASAKI KLX 125 2012-2013\nKAWASAKI KLX 125 2014-2014\nKAWASAKI KLX 250 1993-1998\nKAWASAKI KLX 250 2006-2007\nKAWASAKI KLX 250 2013-2013\nKAWASAKI KLX 250 2014-2014\nKAWASAKI KLX450R 2008-2010\nKAWASAKI KLX450R 2011-2012\nKAWASAKI KLX450R 2013-2013\nKAWASAKI KLX450R 2014-2014\nKAWASAKI KX450F 2006-2010\nKAWASAKI KX450F 2011-2011\nKAWASAKI KX450F 2012-2012\nKAWASAKI KX450F 2013-2013\nKAWASAKI KX450F 2014-2014\nPOLARIS Predator 500 2005-2007\nHONDA ATV TRX 250 X 2014-2014\nHONDA ATV TRX 300 EX Fourtrax 1993-2008\nHONDA ATV TRX 300 X 2009-2009\nHONDA ATV TRX700XX 2008-2010\nKAWASAKI ATV KFX 450 R 2008-2012\nKAWASAKI ATV KFX 450 R 2013-2014,,,0,0,,,,0,1,,,0,0,,,HF112
1172,44864,25-1217,,670,579,527,0,2,0,0,2,,Подшипник заднего колеса,All Balls,7838ec65367c11dfb31c001966f4ab92,,Комплект подшипников колеса All Balls 25-1217,All Balls производит колесные шариковые подшипники в соответствии со стандартом ABEC3. Они изготовлены из высококлассных сплавов . покрыты антикорозионной смазкой Chevron SRI 2. обладающей водоотталкивающими свойствами и препятствующей образованию ржавчины. \nПодшипники All Balls оснащены резиновыми уплотнителями/сальниками для дополнительной защиты от воды и грязи. а также двойной манжетой типа TC – металлический каркас с обрезиненной поверхностью для защиты от механических воздействий.\nПодшипники All Balls рассчитаны на продолжительный срок службы и устойчивы к ударным нагрузкам. \nКомплект ступичных подшипников изготовлен в соответствии с размерами и спецификациями оригинальных деталей мотоциклов и включает всё необходимое для замены. \nРасходники All Balls сертифицированы по международным стандартам ISO 9001.\n\nВ комплекте 2 сальника и 2 подшипника.\nПодходит для установки 1 колеса.\n\nЗаднее колесо:\nHonda XR250R 86-95\nHonda XR350R 85\nHonda XR600R 85-00,,,0,0,,,,0,0,,,0,0,,,25-1217
2552,48424,LMP294 ORR,,1860,1738,1580,0,0,0,0,0,,Sintered,AP Racing,667bea3a4e1c11e08c0f001966f4ab92,,Колодки дискового тормоза AP Racing LMP294 ORR  (FDB892 / FA185),AP Racing - английский бренд. лидер в разработке высокопроизводительных тормозных систем.\nORR - Racing OFF Road MX\nСинтетические тормозные колодки AP Racing серии ORR (Sinter formula) - это максимальная тормозная мощность для мотоциклов MX / SX. Состав ORR был разработан в MXGP и AMA Supercross и в настоящее время используется ведущими гонщиками. ORR представляет собой спеченный (металлический) состав с высокой термической стабильностью. поэтому не разрушается даже в очень экстремальных условиях. ORR имеет высокий коэффициент трения при низких температурах.\nПодходят для чугунных и оригинальных тормозных дисков из нержавеющей стали.\nАналоги:\nHonda 06455 KCZ 000\nHonda 06455 MAY 000\nHonda 06455 MY1 405\nHonda 45105 KT0 405\nHonda 45105 MY6 405\nHonda 45105 MY6 415\nYamaha 32D W0045 00\nYamaha 5D7 F5811 00\nYamaha 5DH W0045 00\nYamaha 5DH W0045 10\nYamaha 5MV W0045 00\nYamaha 5MV W0045 01\nSuzuki 59300 13830\nSuzuki 59300 13860\nSuzuki 59300 36850\nSuzuki 59300 36860\nSuzuki 59300 36870\nSuzuki 59300 36880\nSuzuki 59300 36890\nSuzuki 59301 36810\nKawasaki 43082 0049\nKawasaki 43082 1149\nKawasaki 43082 1152\nKawasaki 43082 1172\nKawasaki 43082 1193\nKawasaki 43082 1218\nKawasaki 43082 1247\nKawasaki 43082 1266\nKawasaki 43082 1286\nEBC FA185R\nEBC FA185TT\nVesrah VD161\nFerodo FDB892SG\nFerodo FDB892ZR\nSBS 694\nBrembo 07KA1705\nBrembo 07KA17SD\nCL Brakes 2300\nGalfer FD164\nNewfren FD0193BT\nTRW Lucas MCB669\nAprilia 9100788\nNISSIN 2P-225GS\nNISSIN 2P-225ST-MX,,,0,0,,,,0,0,,,0,0,,,LMP294 ORR
2763,48953,P40FORK455148,,3850,2887,2695,0,17,2,0,17,,Сальники вилки,Athena,a4875bfb4e1c11e08c0f001966f4ab92,,Сальники вилки Athena 41x53x8/10.5 NOK,,,,0,0,,,,0,1,,,0,0,,,P40FORK455148
4630,54912,LMP294 OR,,3340,2476,2255,0,0,0,0,0,,Sintered,AP Racing,0ca97b542ef911e6b79a00155d3b7601,,Колодки дискового тормоза AP Racing LMP294 OR  (FDB892 / FA185),AP Racing - английский бренд. лидер в разработке высокопроизводительных тормозных систем.\nOR - Off-Road MX \nSinter- Синтетические\nСпециально разработаны для бездорожья ( грязь. песок. вода и тп). что позволяет не терять в таких условиях контроль над ситуацией. В основном подходит для дисков из нержавеющей стали OE.\nАналоги:\nHonda 06455 KCZ 000\nHonda 06455 MAY 000\nHonda 06455 MY1 405\nHonda 45105 KT0 405\nHonda 45105 MY6 405\nHonda 45105 MY6 415\nYamaha 32D W0045 00\nYamaha 5D7 F5811 00\nYamaha 5DH W0045 00\nYamaha 5DH W0045 10\nYamaha 5MV W0045 00\nYamaha 5MV W0045 01\nSuzuki 59300 13830\nSuzuki 59300 13860\nSuzuki 59300 36850\nSuzuki 59300 36860\nSuzuki 59300 36870\nSuzuki 59300 36880\nSuzuki 59300 36890\nSuzuki 59301 36810\nKawasaki 43082 0049\nKawasaki 43082 1149\nKawasaki 43082 1152\nKawasaki 43082 1172\nKawasaki 43082 1193\nKawasaki 43082 1218\nKawasaki 43082 1247\nKawasaki 43082 1266\nKawasaki 43082 1286\nEBC FA185R\nEBC FA185TT\nVesrah VD161\nFerodo FDB892SG\nFerodo FDB892ZR\nSBS 694\nBrembo 07KA1705\nBrembo 07KA17SD\nCL Brakes 2300\nGalfer FD164\nNewfren FD0193BT\nTRW Lucas MCB669\nAprilia 9100788\nNISSIN 2P-225GS\nNISSIN 2P-225ST-MX,,,0,0,,,,0,0,,,0,0,,,LMP294 OR
4906,55451,LMP204 ST,,1910,1790,1628,0,5,0,0,5,,Organic,AP Racing,1765e585c75011e68c9c00155d3b7601,,Колодки дискового тормоза AP Racing LMP204 ST  (FDB539 / FA131),AP Racing - английский бренд. лидер в разработке высокопроизводительных тормозных систем.\nST - STANDARD \nОрганические тормозные колодки AP Racing серии ST (Organic formula) гарантируют хорошую производительность на всех температурных режимах. \nПодходят для дисков из чугуна и нержавеющей стали. \nАналоги:\nHonda 06435 KCZ 000\nHonda 06435 KCZ 010\nHonda 43105 KZ1 405\nHonda 43105 KZ1 415\nYamaha 5DH W0046 00\nYamaha 5ET W0046 00\nYamaha 5GR W0046 00\nYamaha 5MV W0046 00\nSuzuki 69100 36820\nSuzuki 69100 36840\nSuzuki 69100 36850\nSuzuki 69100 36860\nSuzuki 69100 37830\nSuzuki 69100 37840\nKawasaki 43082 1173\nKawasaki 43082 1228\nKawasaki 43082 1267\nKawasaki 43082 1292\nEBC FA131\nEBC FA233\nEBC SFA233\nFerodo FDB539SG\nFerodo FDB672AG\nFerodo FDB672EF\nFerodo FDB783\nSBS 604\nBrembo 07HO2608\nCL Brakes 2314\nGalfer FD093\nNISSIN 2P-219GS\nMALOSSI 2B0015/4B0017,,,0,0,,,,0,1,,,0,0,,,LMP204 ST
4917,55464,HFF1015,,840,768,704,0,0,10,0,0,,Воздушные,Hi-Flo,6368adb3c79111e68c9c00155d3b7601,,Фильтр воздушный Hi-Flo HFF1015,Разработанный в соответствии с высочайшими стандартами качества. Hiflofiltro представляет собой полный ассортимент масляных и воздушных фильтров для мотоциклов. скутеров. квадроциклов и плавсредств. обеспечивающих максимальный уровень защиты вашего двигателя.,,,0,0,,,,0,1,,,0,0,,,HFF1015
4977,55546,4730,,1240,1063,1063,0,0,0,0,0,,,NGK,4812ae5ed7e011e68c9c00155d3b7601,,Свеча NGK DPR8Z,,,,0,0,,,,0,0,,,0,0,,,4730
5009,55634,JTF327.13,,1250,937,875,0,15,1,0,15,,Звезда ведУщая,JT,f3e9c407e21111e68c9c00155d3b7601,,Звезда ведущая JTF327.13,Передняя ведущая звезда JTF 327.13\nКоличество зубьев: 13\nИзготовлена из хромомолибденовой стали SCM420\nПодходит для цепей 520 размера\n\nПри замене звeзд настоятельно рекомендуем заменить так же и старую цепь!,,,0,0,,,,0,1,,,0,0,,,JTF327.13
5106,55746,LMP204 OR,,2190,2049,1863,0,27,0,0,27,,Sintered,AP Racing,34325af2f4f611e68c9c00155d3b7601,,Колодки дискового тормоза AP Racing LMP204 OR  (FDB539 / FA131),AP Racing - английский бренд. лидер в разработке высокопроизводительных тормозных систем.\nOR - Off-Road MX \nSinter- Синтетические\nСпециально разработаны для бездорожья ( грязь. песок. вода и тп). что позволяет не терять в таких условиях контроль над ситуацией. В основном подходит для дисков из нержавеющей стали OE \nАналоги:\nHonda 06435 KCZ 000\nHonda 06435 KCZ 010\nHonda 43105 KZ1 405\nHonda 43105 KZ1 415\nYamaha 5DH W0046 00\nYamaha 5ET W0046 00\nYamaha 5GR W0046 00\nYamaha 5MV W0046 00\nSuzuki 69100 36820\nSuzuki 69100 36840\nSuzuki 69100 36850\nSuzuki 69100 36860\nSuzuki 69100 37830\nSuzuki 69100 37840\nKawasaki 43082 1173\nKawasaki 43082 1228\nKawasaki 43082 1267\nKawasaki 43082 1292\nEBC FA131\nEBC FA233\nEBC SFA233\nFerodo FDB539SG\nFerodo FDB672AG\nFerodo FDB672EF\nFerodo FDB783\nSBS 604\nBrembo 07HO2608\nCL Brakes 2314\nGalfer FD093\nNISSIN 2P-219GS\nMALOSSI 2B0015/4B0017,,,0,0,,,,0,1,,,0,0,,,LMP204 OR
